date,province,region,variable,value,model
2019-01-01,Chon Buri,east,no_tourist_occupied,1343262.0,
2019-01-01,Chanthaburi,east,no_tourist_occupied,118776.0,
2019-01-01,Trat,east,no_tourist_occupied,205330.0,
2019-01-01,Nakhon Nayok,east,no_tourist_occupied,140711.0,
2019-01-01,Prachin Buri,east,no_tourist_occupied,106063.0,
2019-01-01,Rayong,east,no_tourist_occupied,377300.0,
2019-01-01,Sa Kaeo,east,no_tourist_occupied,69400.0,
2019-01-01,Phuket,south,no_tourist_occupied,1528585.0,
2019-01-01,Phatthalung,south,no_tourist_occupied,67285.0,
2019-01-01,Trang,south,no_tourist_occupied,131744.0,
2019-01-01,Ranong,south,no_tourist_occupied,85886.0,
2019-01-01,Chumphon,south,no_tourist_occupied,92831.0,
2019-01-01,Pattani,south,no_tourist_occupied,18105.0,
2019-01-01,Yala,south,no_tourist_occupied,49144.0,
2019-01-01,Nakhon Si Thammarat,south,no_tourist_occupied,245874.0,
2019-01-01,Narathiwat,south,no_tourist_occupied,53863.0,
2019-01-01,Krabi,south,no_tourist_occupied,348964.0,
2019-01-01,Songkhla,south,no_tourist_occupied,431256.0,
2019-01-01,Phangnga,south,no_tourist_occupied,128033.0,
2019-01-01,Surat Thani,south,no_tourist_occupied,484886.0,
2019-01-01,Satun,south,no_tourist_occupied,88512.0,
2019-01-01,Kamphaeng Phet,north,no_tourist_occupied,45815.0,
2019-01-01,Chiang Rai,north,no_tourist_occupied,403624.0,
2019-01-01,Chiang Mai,north,no_tourist_occupied,928602.0,
2019-01-01,Phichit,north,no_tourist_occupied,46475.0,
2019-01-01,Nakhon Sawan,north,no_tourist_occupied,118061.0,
2019-01-01,Tak,north,no_tourist_occupied,182684.0,
2019-01-01,Phitsanulok,north,no_tourist_occupied,202934.0,
2019-01-01,Phayao,north,no_tourist_occupied,33961.0,
2019-01-01,Phetchabun,north,no_tourist_occupied,214329.0,
2019-01-01,Phrae,north,no_tourist_occupied,35764.0,
2019-01-01,Lampang,north,no_tourist_occupied,69285.0,
2019-01-01,Lamphun,north,no_tourist_occupied,27710.0,
2019-01-01,Mae Hong Son,north,no_tourist_occupied,137937.0,
2019-01-01,Uttaradit,north,no_tourist_occupied,65695.0,
2019-01-01,Uthai Thani,north,no_tourist_occupied,30736.0,
2019-01-01,Sukhothai,north,no_tourist_occupied,89231.0,
2019-01-01,Nan,north,no_tourist_occupied,95902.0,
2019-01-01,Kalasin,east_northeast,no_tourist_occupied,23197.0,
2019-01-01,Khon Kaen,east_northeast,no_tourist_occupied,244958.0,
2019-01-01,Chaiyaphum,east_northeast,no_tourist_occupied,72160.0,
2019-01-01,Nakhon Phanom,east_northeast,no_tourist_occupied,46232.0,
2019-01-01,Nakhon Ratchasima,east_northeast,no_tourist_occupied,529946.0,
2019-01-01,Buri Ram,east_northeast,no_tourist_occupied,113655.0,
2019-01-01,Maha Sarakham,east_northeast,no_tourist_occupied,45480.0,
2019-01-01,Mukdahan,east_northeast,no_tourist_occupied,70953.0,
2019-01-01,Roi Et,east_northeast,no_tourist_occupied,43424.0,
2019-01-01,Loei,east_northeast,no_tourist_occupied,130458.0,
2019-01-01,Si Sa Ket,south,no_tourist_occupied,44457.0,
2019-01-01,Surin,east_northeast,no_tourist_occupied,100932.0,
2019-01-01,Nong Khai,east_northeast,no_tourist_occupied,118898.0,
2019-01-01,Bueng Kan,east_northeast,no_tourist_occupied,37974.0,
2019-01-01,Udon Thani,east_northeast,no_tourist_occupied,189778.0,
2019-01-01,Ubon Ratchathani,east_northeast,no_tourist_occupied,147377.0,
2019-01-01,Sakon Nakhon,east_northeast,no_tourist_occupied,66034.0,
2019-01-01,Yasothon,east_northeast,no_tourist_occupied,17237.0,
2019-01-01,Amnat Charoen,east_northeast,no_tourist_occupied,8551.0,
2019-01-01,Nong Bua Lam Phu,east_northeast,no_tourist_occupied,14081.0,
2019-01-01,Bangkok Metropolis,central,no_tourist_all,5959075.0,
2019-01-01,Lop Buri,central,no_tourist_all,268664.0,
2019-01-01,Phra Nakhon Si Ayutthaya,central,no_tourist_all,730329.0,
2019-01-01,Saraburi,central,no_tourist_all,207236.0,
2019-01-01,Chai Nat,central,no_tourist_all,79073.0,
2019-01-01,Nakhon Pathom,central,no_tourist_all,296107.0,
2019-01-01,Sing Buri,central,no_tourist_all,49438.0,
2019-01-01,Ang Thong,central,no_tourist_all,104097.0,
2019-01-01,Nonthaburi,central,no_tourist_all,323717.0,
2019-01-01,Pathum Thani,central,no_tourist_all,233295.0,
2019-01-01,Samut Prakan,central,no_tourist_all,408652.0,
2019-01-01,Samut Sakhon,central,no_tourist_all,109253.0,
2019-01-01,Chachoengsao,east,no_tourist_all,270438.0,
2019-01-01,Ratchaburi,central,no_tourist_all,236440.0,
2019-01-01,Kanchanaburi,central,no_tourist_all,752901.0,
2019-01-01,Samut Songkhram,central,no_tourist_all,201751.0,
2019-01-01,Suphan Buri,central,no_tourist_all,235981.0,
2019-01-01,Phetchaburi,central,no_tourist_all,713674.0,
2019-01-01,Prachuap Khiri Khan,central,no_tourist_all,639052.0,
2019-01-01,Chon Buri,east,no_tourist_all,1570327.0,
2019-01-01,Chanthaburi,east,no_tourist_all,257105.0,
2019-01-01,Trat,east,no_tourist_all,224218.0,
2019-01-01,Nakhon Nayok,east,no_tourist_all,278705.0,
2019-01-01,Prachin Buri,east,no_tourist_all,183846.0,
2019-01-01,Rayong,east,no_tourist_all,650811.0,
2019-01-01,Sa Kaeo,east,no_tourist_all,199751.0,
2019-01-01,Phuket,south,no_tourist_all,1690776.0,
2019-01-01,Phatthalung,south,no_tourist_all,120318.0,
2019-01-01,Trang,south,no_tourist_all,173715.0,
2019-01-01,Ranong,south,no_tourist_all,110844.0,
2019-01-01,Chumphon,south,no_tourist_all,116543.0,
2019-01-01,Pattani,south,no_tourist_all,22499.0,
2019-01-01,Yala,south,no_tourist_all,52984.0,
2019-01-01,Nakhon Si Thammarat,south,no_tourist_all,384120.0,
2019-01-01,Narathiwat,south,no_tourist_all,66654.0,
2019-01-01,Krabi,south,no_tourist_all,564380.0,
2019-01-01,Songkhla,south,no_tourist_all,774786.0,
2019-01-01,Phangnga,south,no_tourist_all,536274.0,
2019-01-01,Surat Thani,south,no_tourist_all,540614.0,
2019-01-01,Satun,south,no_tourist_all,210906.0,
2019-01-01,Kamphaeng Phet,north,no_tourist_all,74421.0,
2019-01-01,Chiang Rai,north,no_tourist_all,453291.0,
2019-01-01,Chiang Mai,north,no_tourist_all,1173786.0,
2019-01-01,Phichit,north,no_tourist_all,64359.0,
2019-01-01,Nakhon Sawan,north,no_tourist_all,189826.0,
2019-01-01,Tak,north,no_tourist_all,241654.0,
2019-01-01,Phitsanulok,north,no_tourist_all,387608.0,
2019-01-01,Phayao,north,no_tourist_all,80767.0,
2019-01-01,Phetchabun,north,no_tourist_all,255911.0,
2019-01-01,Phrae,north,no_tourist_all,83792.0,
2019-01-01,Lampang,north,no_tourist_all,117418.0,
2019-01-01,Lamphun,north,no_tourist_all,117882.0,
2019-01-01,Mae Hong Son,north,no_tourist_all,146468.0,
2019-01-01,Uttaradit,north,no_tourist_all,125154.0,
2019-01-01,Uthai Thani,north,no_tourist_all,76665.0,
2019-01-01,Sukhothai,north,no_tourist_all,150621.0,
2019-01-01,Nan,north,no_tourist_all,113649.0,
2019-01-01,Kalasin,east_northeast,no_tourist_all,62141.0,
2019-01-01,Khon Kaen,east_northeast,no_tourist_all,639369.0,
2019-01-01,Chaiyaphum,east_northeast,no_tourist_all,136109.0,
2019-01-01,Nakhon Phanom,east_northeast,no_tourist_all,104305.0,
2019-01-01,Nakhon Ratchasima,east_northeast,no_tourist_all,1012772.0,
2019-01-01,Buri Ram,east_northeast,no_tourist_all,185563.0,
2019-01-01,Maha Sarakham,east_northeast,no_tourist_all,72804.0,
2019-01-01,Mukdahan,east_northeast,no_tourist_all,218485.0,
2019-01-01,Roi Et,east_northeast,no_tourist_all,84761.0,
